data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-07-07--14h-37m-06s,1.0,1.0,10.0,28.0,40.0,2.3117610289979167,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,3.0,3.0,7.0,27.0,40.0,2.214297435588181,0.5724028160489264,0.5724028160489264
2025-07-07--14h-37m-06s,2.0,0.0,10.0,28.0,40.0,2.34619382340565,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,2.0,1.0,11.0,26.0,40.0,2.2459278597319283,0.3869474191522863,0.3869474191522863
2025-07-07--14h-37m-06s,1.0,1.0,10.0,28.0,40.0,2.3117610289979167,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,1.0,0.0,5.0,34.0,40.0,2.5867816206097216,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,3.0,1.0,9.0,27.0,40.0,2.278380763520252,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,4.0,1.0,6.0,29.0,40.0,2.34619382340565,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,1.0,4.0,9.0,26.0,40.0,2.15316056466364,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,0.0,1.0,11.0,28.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-37m-06s,0.0,0.0,5.0,35.0,40.0,2.636232143305636,,0.0
2025-07-07--14h-37m-06s,0.0,0.0,12.0,28.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,12.0,26.0,40.0,2.2459278597319283,0.25358158064826314,0.25358158064826314
2025-07-07--14h-37m-06s,2.0,0.0,12.0,26.0,40.0,2.278380763520252,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,1.0,0.0,9.0,30.0,40.0,2.4188584057763776,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,1.0,2.0,6.0,31.0,40.0,2.381830721082478,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,1.0,2.0,5.0,32.0,40.0,2.4188584057763776,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,2.0,1.0,13.0,24.0,40.0,2.183400474843519,0.3556025829805332,0.3556025829805332
2025-07-07--14h-37m-06s,1.0,0.0,13.0,26.0,40.0,2.278380763520252,0.24163715965295776,0.24163715965295776
2025-07-07--14h-37m-06s,4.0,1.0,8.0,27.0,40.0,2.278380763520252,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,2.0,2.0,15.0,21.0,40.0,2.065760358511791,0.3300055583162206,0.3300055583162206
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,4.0,0.0,8.0,28.0,40.0,2.34619382340565,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,4.0,3.0,12.0,21.0,40.0,2.037561665842193,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,2.0,0.0,11.0,27.0,40.0,2.3117610289979167,0.3869474191522863,0.3869474191522863
2025-07-07--14h-37m-06s,2.0,0.0,10.0,28.0,40.0,2.34619382340565,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,0.0,1.0,7.0,32.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,2.0,2.0,9.0,27.0,40.0,2.2459278597319283,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,0.0,1.0,12.0,27.0,40.0,2.278380763520252,,0.0
2025-07-07--14h-37m-06s,1.0,2.0,7.0,30.0,40.0,2.34619382340565,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,1.0,2.0,6.0,31.0,40.0,2.381830721082478,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,0.0,3.0,7.0,30.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-37m-06s,3.0,0.0,6.0,31.0,40.0,2.457511421794464,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,0.0,1.0,10.0,29.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-37m-06s,1.0,0.0,11.0,28.0,40.0,2.34619382340565,0.26689830611784693,0.26689830611784693
2025-07-07--14h-37m-06s,3.0,2.0,12.0,23.0,40.0,2.12351143989168,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,1.0,0.0,4.0,35.0,40.0,2.636232143305636,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,0.0,0.0,9.0,31.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,7.0,31.0,40.0,2.4188584057763776,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,1.0,1.0,11.0,27.0,40.0,2.278380763520252,0.26689830611784693,0.26689830611784693
2025-07-07--14h-37m-06s,1.0,0.0,8.0,31.0,40.0,2.457511421794464,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,1.0,0.0,8.0,31.0,40.0,2.457511421794464,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,0.0,0.0,11.0,29.0,40.0,2.381830721082478,,0.0
2025-07-07--14h-37m-06s,2.0,2.0,6.0,30.0,40.0,2.34619382340565,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,2.0,0.0,7.0,31.0,40.0,2.457511421794464,0.4797551786564516,0.4797551786564516
2025-07-07--14h-37m-06s,1.0,0.0,9.0,30.0,40.0,2.4188584057763776,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,4.0,0.0,12.0,24.0,40.0,2.214297435588181,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,3.0,0.0,12.0,25.0,40.0,2.2459278597319283,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,4.0,1.0,11.0,24.0,40.0,2.183400474843519,0.5338767402159962,0.5338767402159962
2025-07-07--14h-37m-06s,2.0,3.0,8.0,27.0,40.0,2.214297435588181,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,2.0,3.0,18.0,17.0,40.0,1.9283674304404068,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,1.0,0.0,11.0,28.0,40.0,2.34619382340565,0.26689830611784693,0.26689830611784693
2025-07-07--14h-37m-06s,0.0,1.0,9.0,30.0,40.0,2.381830721082478,,0.0
2025-07-07--14h-37m-06s,2.0,3.0,6.0,29.0,40.0,2.278380763520252,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,1.0,0.0,7.0,32.0,40.0,2.498091544796509,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,0.0,1.0,8.0,31.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,2.0,1.0,9.0,28.0,40.0,2.3117610289979167,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,2.0,1.0,8.0,29.0,40.0,2.34619382340565,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,2.0,1.0,14.0,23.0,40.0,2.15316056466364,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,1.0,0.0,7.0,32.0,40.0,2.498091544796509,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,0.0,3.0,10.0,27.0,40.0,2.214297435588181,,0.0
2025-07-07--14h-37m-06s,1.0,3.0,6.0,30.0,40.0,2.3117610289979167,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,1.0,1.0,9.0,29.0,40.0,2.34619382340565,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,4.0,1.0,6.0,29.0,40.0,2.34619382340565,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,2.0,2.0,9.0,27.0,40.0,2.2459278597319283,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,2.0,2.0,9.0,27.0,40.0,2.2459278597319283,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,3.0,0.0,9.0,28.0,40.0,2.34619382340565,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,0.0,0.0,7.0,33.0,40.0,2.540998526723742,,0.0
2025-07-07--14h-37m-06s,3.0,0.0,9.0,28.0,40.0,2.34619382340565,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,2.0,1.0,8.0,29.0,40.0,2.34619382340565,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,3.0,0.0,12.0,25.0,40.0,2.2459278597319283,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,1.0,0.0,7.0,32.0,40.0,2.498091544796509,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,3.0,3.0,9.0,25.0,40.0,2.15316056466364,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,0.0,2.0,11.0,27.0,40.0,2.2459278597319283,,0.0
2025-07-07--14h-37m-06s,2.0,0.0,8.0,30.0,40.0,2.4188584057763776,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,0.0,0.0,8.0,32.0,40.0,2.498091544796509,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,6.0,32.0,40.0,2.457511421794464,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,0.0,4.0,4.0,32.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-37m-06s,0.0,0.0,10.0,30.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,1.0,0.0,8.0,31.0,40.0,2.457511421794464,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,3.0,3.0,5.0,29.0,40.0,2.278380763520252,0.6547855203539177,0.6547855203539177
2025-07-07--14h-37m-06s,3.0,1.0,7.0,29.0,40.0,2.34619382340565,0.5724028160489264,0.5724028160489264
2025-07-07--14h-37m-06s,2.0,0.0,14.0,24.0,40.0,2.214297435588181,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,3.0,1.0,11.0,25.0,40.0,2.214297435588181,0.46967130873754165,0.46967130873754165
2025-07-07--14h-37m-06s,5.0,1.0,5.0,29.0,40.0,2.34619382340565,0.7853981633974483,0.7853981633974483
2025-07-07--14h-37m-06s,2.0,2.0,7.0,29.0,40.0,2.3117610289979167,0.4797551786564516,0.4797551786564516
2025-07-07--14h-37m-06s,3.0,0.0,11.0,26.0,40.0,2.278380763520252,0.46967130873754165,0.46967130873754165
2025-07-07--14h-37m-06s,0.0,0.0,9.0,31.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,7.0,31.0,40.0,2.4188584057763776,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,1.0,1.0,11.0,27.0,40.0,2.278380763520252,0.26689830611784693,0.26689830611784693
2025-07-07--14h-37m-06s,0.0,0.0,7.0,33.0,40.0,2.540998526723742,,0.0
2025-07-07--14h-37m-06s,0.0,1.0,6.0,33.0,40.0,2.498091544796509,,0.0
2025-07-07--14h-37m-06s,3.0,2.0,10.0,25.0,40.0,2.183400474843519,0.49045779404292944,0.49045779404292944
2025-07-07--14h-37m-06s,1.0,1.0,6.0,32.0,40.0,2.457511421794464,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,2.0,1.0,7.0,30.0,40.0,2.381830721082478,0.4797551786564516,0.4797551786564516
2025-07-07--14h-37m-06s,2.0,0.0,11.0,27.0,40.0,2.3117610289979167,0.3869474191522863,0.3869474191522863
2025-07-07--14h-37m-06s,2.0,3.0,5.0,30.0,40.0,2.3117610289979167,0.5560725794526592,0.5560725794526592
2025-07-07--14h-37m-06s,0.0,0.0,9.0,31.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,2.0,0.0,8.0,30.0,40.0,2.4188584057763776,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,3.0,1.0,9.0,27.0,40.0,2.278380763520252,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,3.0,0.0,6.0,31.0,40.0,2.457511421794464,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,3.0,0.0,7.0,30.0,40.0,2.4188584057763776,0.5724028160489264,0.5724028160489264
2025-07-07--14h-37m-06s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,1.0,1.0,9.0,29.0,40.0,2.34619382340565,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,4.0,0.0,6.0,30.0,40.0,2.4188584057763776,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,2.0,2.0,6.0,30.0,40.0,2.34619382340565,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,2.0,0.0,10.0,28.0,40.0,2.34619382340565,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,4.0,0.0,12.0,24.0,40.0,2.214297435588181,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,2.0,2.0,13.0,23.0,40.0,2.12351143989168,0.3556025829805332,0.3556025829805332
2025-07-07--14h-37m-06s,2.0,3.0,9.0,26.0,40.0,2.183400474843519,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,3.0,1.0,14.0,22.0,40.0,2.12351143989168,0.41933729423310934,0.41933729423310934
2025-07-07--14h-37m-06s,3.0,1.0,8.0,28.0,40.0,2.3117610289979167,0.5409953315683538,0.5409953315683538
2025-07-07--14h-37m-06s,2.0,3.0,6.0,29.0,40.0,2.278380763520252,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,1.0,2.0,12.0,25.0,40.0,2.183400474843519,0.25358158064826314,0.25358158064826314
2025-07-07--14h-37m-06s,3.0,1.0,10.0,26.0,40.0,2.2459278597319283,0.49045779404292944,0.49045779404292944
2025-07-07--14h-37m-06s,1.0,0.0,7.0,32.0,40.0,2.498091544796509,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,0.0,0.0,9.0,31.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,1.0,0.0,13.0,26.0,40.0,2.278380763520252,0.24163715965295776,0.24163715965295776
2025-07-07--14h-37m-06s,0.0,1.0,11.0,28.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-37m-06s,3.0,2.0,6.0,29.0,40.0,2.3117610289979167,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,1.0,2.0,9.0,28.0,40.0,2.278380763520252,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,2.0,0.0,4.0,34.0,40.0,2.5867816206097216,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,3.0,3.0,9.0,25.0,40.0,2.15316056466364,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,0.0,0.0,14.0,26.0,40.0,2.278380763520252,,0.0
2025-07-07--14h-37m-06s,0.0,0.0,10.0,30.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,2.0,2.0,3.0,33.0,40.0,2.457511421794464,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,3.0,1.0,9.0,27.0,40.0,2.278380763520252,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,1.0,1.0,12.0,26.0,40.0,2.2459278597319283,0.25358158064826314,0.25358158064826314
2025-07-07--14h-37m-06s,4.0,1.0,10.0,25.0,40.0,2.214297435588181,0.5560725794526592,0.5560725794526592
2025-07-07--14h-37m-06s,0.0,0.0,5.0,35.0,40.0,2.636232143305636,,0.0
2025-07-07--14h-37m-06s,0.0,1.0,10.0,29.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,13.0,25.0,40.0,2.214297435588181,0.24163715965295776,0.24163715965295776
2025-07-07--14h-37m-06s,4.0,0.0,6.0,30.0,40.0,2.4188584057763776,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,1.0,0.0,12.0,27.0,40.0,2.3117610289979167,0.25358158064826314,0.25358158064826314
2025-07-07--14h-37m-06s,2.0,1.0,9.0,28.0,40.0,2.3117610289979167,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,1.0,1.0,7.0,31.0,40.0,2.4188584057763776,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,1.0,0.0,4.0,35.0,40.0,2.636232143305636,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,2.0,1.0,11.0,26.0,40.0,2.2459278597319283,0.3869474191522863,0.3869474191522863
2025-07-07--14h-37m-06s,3.0,2.0,11.0,24.0,40.0,2.15316056466364,0.46967130873754165,0.46967130873754165
2025-07-07--14h-37m-06s,3.0,2.0,11.0,24.0,40.0,2.15316056466364,0.46967130873754165,0.46967130873754165
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,1.0,0.0,14.0,25.0,40.0,2.2459278597319283,0.23082719937082688,0.23082719937082688
2025-07-07--14h-37m-06s,2.0,2.0,4.0,32.0,40.0,2.4188584057763776,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,2.0,1.0,3.0,34.0,40.0,2.540998526723742,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,1.0,0.0,8.0,31.0,40.0,2.457511421794464,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,2.0,3.0,13.0,22.0,40.0,2.065760358511791,0.3556025829805332,0.3556025829805332
2025-07-07--14h-37m-06s,0.0,1.0,7.0,32.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,1.0,0.0,12.0,27.0,40.0,2.3117610289979167,0.25358158064826314,0.25358158064826314
2025-07-07--14h-37m-06s,0.0,2.0,10.0,28.0,40.0,2.278380763520252,,0.0
2025-07-07--14h-37m-06s,1.0,2.0,5.0,32.0,40.0,2.4188584057763776,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,0.0,1.0,6.0,33.0,40.0,2.498091544796509,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,9.0,29.0,40.0,2.34619382340565,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,2.0,1.0,14.0,23.0,40.0,2.15316056466364,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,0.0,0.0,9.0,31.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-37m-06s,2.0,0.0,16.0,22.0,40.0,2.15316056466364,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,3.0,0.0,6.0,31.0,40.0,2.457511421794464,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,2.0,1.0,8.0,29.0,40.0,2.34619382340565,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,2.0,0.0,11.0,27.0,40.0,2.3117610289979167,0.3869474191522863,0.3869474191522863
2025-07-07--14h-37m-06s,2.0,0.0,10.0,28.0,40.0,2.34619382340565,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,2.0,2.0,7.0,29.0,40.0,2.3117610289979167,0.4797551786564516,0.4797551786564516
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,2.0,1.0,9.0,28.0,40.0,2.3117610289979167,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,3.0,2.0,7.0,28.0,40.0,2.278380763520252,0.5724028160489264,0.5724028160489264
2025-07-07--14h-37m-06s,0.0,1.0,12.0,27.0,40.0,2.278380763520252,,0.0
2025-07-07--14h-37m-06s,2.0,4.0,6.0,28.0,40.0,2.214297435588181,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,2.0,2.0,4.0,32.0,40.0,2.4188584057763776,0.6096235924329293,0.6096235924329293
2025-07-07--14h-37m-06s,1.0,1.0,4.0,34.0,40.0,2.540998526723742,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,4.0,1.0,6.0,29.0,40.0,2.34619382340565,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,1.0,0.0,14.0,25.0,40.0,2.2459278597319283,0.23082719937082688,0.23082719937082688
2025-07-07--14h-37m-06s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,3.0,1.0,9.0,27.0,40.0,2.278380763520252,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,0.0,1.0,8.0,31.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,0.0,0.0,10.0,30.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,2.0,1.0,10.0,27.0,40.0,2.278380763520252,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,2.0,1.0,6.0,31.0,40.0,2.4188584057763776,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,3.0,2.0,8.0,27.0,40.0,2.2459278597319283,0.5409953315683538,0.5409953315683538
2025-07-07--14h-37m-06s,0.0,3.0,9.0,28.0,40.0,2.2459278597319283,,0.0
2025-07-07--14h-37m-06s,1.0,2.0,9.0,28.0,40.0,2.278380763520252,0.2990150686917748,0.2990150686917748
2025-07-07--14h-37m-06s,2.0,0.0,6.0,32.0,40.0,2.498091544796509,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,0.0,0.0,15.0,25.0,40.0,2.2459278597319283,,0.0
2025-07-07--14h-37m-06s,0.0,2.0,6.0,32.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,3.0,2.0,4.0,31.0,40.0,2.381830721082478,0.7113378028600741,0.7113378028600741
2025-07-07--14h-37m-06s,0.0,2.0,9.0,29.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-37m-06s,2.0,2.0,8.0,28.0,40.0,2.278380763520252,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,3.0,1.0,10.0,26.0,40.0,2.2459278597319283,0.49045779404292944,0.49045779404292944
2025-07-07--14h-37m-06s,3.0,2.0,12.0,23.0,40.0,2.12351143989168,0.4511321362421992,0.4511321362421992
2025-07-07--14h-37m-06s,3.0,1.0,11.0,25.0,40.0,2.214297435588181,0.46967130873754165,0.46967130873754165
2025-07-07--14h-37m-06s,1.0,0.0,5.0,34.0,40.0,2.5867816206097216,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,0.0,1.0,11.0,28.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-37m-06s,1.0,3.0,7.0,29.0,40.0,2.278380763520252,0.3422040516914228,0.3422040516914228
2025-07-07--14h-37m-06s,2.0,1.0,12.0,25.0,40.0,2.214297435588181,0.37042254200429753,0.37042254200429753
2025-07-07--14h-37m-06s,2.0,0.0,6.0,32.0,40.0,2.498091544796509,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,0.0,0.0,10.0,30.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,2.0,0.0,9.0,29.0,40.0,2.381830721082478,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-37m-06s,2.0,1.0,9.0,28.0,40.0,2.3117610289979167,0.42671627799704637,0.42671627799704637
2025-07-07--14h-37m-06s,0.0,2.0,8.0,30.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-37m-06s,0.0,1.0,5.0,34.0,40.0,2.540998526723742,,0.0
2025-07-07--14h-37m-06s,1.0,1.0,5.0,33.0,40.0,2.498091544796509,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,0.0,0.0,6.0,34.0,40.0,2.5867816206097216,,0.0
2025-07-07--14h-37m-06s,1.0,3.0,11.0,25.0,40.0,2.15316056466364,0.26689830611784693,0.26689830611784693
2025-07-07--14h-37m-06s,3.0,1.0,7.0,29.0,40.0,2.34619382340565,0.5724028160489264,0.5724028160489264
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,6.0,2.0,9.0,23.0,40.0,2.12351143989168,0.681342897638257,0.681342897638257
2025-07-07--14h-37m-06s,2.0,0.0,10.0,28.0,40.0,2.34619382340565,0.4055472869995539,0.4055472869995539
2025-07-07--14h-37m-06s,3.0,1.0,8.0,28.0,40.0,2.3117610289979167,0.5409953315683538,0.5409953315683538
2025-07-07--14h-37m-06s,1.0,0.0,3.0,36.0,40.0,2.6905658417935308,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,3.0,1.0,5.0,31.0,40.0,2.4188584057763776,0.6547855203539177,0.6547855203539177
2025-07-07--14h-37m-06s,3.0,2.0,14.0,21.0,40.0,2.065760358511791,0.41933729423310934,0.41933729423310934
2025-07-07--14h-37m-06s,1.0,2.0,13.0,24.0,40.0,2.15316056466364,0.24163715965295776,0.24163715965295776
2025-07-07--14h-37m-06s,0.0,3.0,14.0,23.0,40.0,2.0943951023931957,,0.0
2025-07-07--14h-37m-06s,2.0,0.0,7.0,31.0,40.0,2.457511421794464,0.4797551786564516,0.4797551786564516
2025-07-07--14h-37m-06s,2.0,2.0,7.0,29.0,40.0,2.3117610289979167,0.4797551786564516,0.4797551786564516
2025-07-07--14h-37m-06s,2.0,1.0,11.0,26.0,40.0,2.2459278597319283,0.3869474191522863,0.3869474191522863
2025-07-07--14h-37m-06s,3.0,0.0,7.0,30.0,40.0,2.4188584057763776,0.5724028160489264,0.5724028160489264
2025-07-07--14h-37m-06s,2.0,1.0,6.0,31.0,40.0,2.4188584057763776,0.5140020358960511,0.5140020358960511
2025-07-07--14h-37m-06s,1.0,1.0,8.0,30.0,40.0,2.381830721082478,0.3188313086384554,0.3188313086384554
2025-07-07--14h-37m-06s,3.0,1.0,10.0,26.0,40.0,2.2459278597319283,0.49045779404292944,0.49045779404292944
2025-07-07--14h-37m-06s,1.0,1.0,12.0,26.0,40.0,2.2459278597319283,0.25358158064826314,0.25358158064826314
2025-07-07--14h-37m-06s,3.0,0.0,8.0,29.0,40.0,2.381830721082478,0.5409953315683538,0.5409953315683538
2025-07-07--14h-37m-06s,0.0,2.0,11.0,27.0,40.0,2.2459278597319283,,0.0
