data_dir,C',SB,VV,HH,N
2025-06-21--02h-51m-48s,52.0,41.0,55.0,52.0,200.0
2025-06-21--02h-51m-48s,51.0,51.0,49.0,49.0,200.0
2025-06-21--02h-51m-48s,33.0,55.0,43.0,69.0,200.0
2025-06-21--02h-51m-48s,49.0,46.0,45.0,60.0,200.0
2025-06-21--02h-51m-48s,43.0,50.0,49.0,58.0,200.0
2025-06-21--02h-51m-48s,58.0,43.0,55.0,44.0,200.0
2025-06-21--02h-51m-48s,52.0,46.0,47.0,55.0,200.0
2025-06-21--02h-51m-48s,60.0,44.0,49.0,47.0,200.0
2025-06-21--02h-51m-48s,51.0,51.0,52.0,46.0,200.0
2025-06-21--02h-51m-48s,56.0,41.0,55.0,48.0,200.0
2025-06-21--02h-51m-48s,63.0,45.0,46.0,46.0,200.0
2025-06-21--02h-51m-48s,52.0,50.0,43.0,55.0,200.0
2025-06-21--02h-51m-48s,49.0,48.0,47.0,56.0,200.0
2025-06-21--02h-51m-48s,57.0,44.0,49.0,50.0,200.0
2025-06-21--02h-51m-48s,43.0,44.0,50.0,63.0,200.0
2025-06-21--02h-51m-48s,57.0,49.0,49.0,45.0,200.0
2025-06-21--02h-51m-48s,48.0,44.0,50.0,58.0,200.0
2025-06-21--02h-51m-48s,55.0,43.0,58.0,44.0,200.0
2025-06-21--02h-51m-48s,55.0,37.0,60.0,48.0,200.0
2025-06-21--02h-51m-48s,56.0,44.0,47.0,53.0,200.0
2025-06-21--02h-51m-48s,50.0,49.0,54.0,47.0,200.0
2025-06-21--02h-51m-48s,61.0,39.0,52.0,48.0,200.0
2025-06-21--02h-51m-48s,52.0,43.0,53.0,52.0,200.0
2025-06-21--02h-51m-48s,50.0,54.0,41.0,55.0,200.0
2025-06-21--02h-51m-48s,44.0,45.0,57.0,54.0,200.0
2025-06-21--02h-51m-48s,40.0,66.0,39.0,55.0,200.0
2025-06-21--02h-51m-48s,53.0,47.0,50.0,50.0,200.0
2025-06-21--02h-51m-48s,35.0,44.0,65.0,56.0,200.0
2025-06-21--02h-51m-48s,43.0,48.0,56.0,53.0,200.0
2025-06-21--02h-51m-48s,50.0,60.0,46.0,44.0,200.0
2025-06-21--02h-51m-48s,47.0,50.0,55.0,48.0,200.0
2025-06-21--02h-51m-48s,50.0,47.0,40.0,63.0,200.0
2025-06-21--02h-51m-48s,46.0,58.0,46.0,50.0,200.0
2025-06-21--02h-51m-48s,37.0,53.0,52.0,58.0,200.0
2025-06-21--02h-51m-48s,55.0,40.0,60.0,45.0,200.0
2025-06-21--02h-51m-48s,45.0,45.0,43.0,67.0,200.0
2025-06-21--02h-51m-48s,47.0,40.0,51.0,62.0,200.0
2025-06-21--02h-51m-48s,57.0,55.0,39.0,49.0,200.0
2025-06-21--02h-51m-48s,54.0,49.0,50.0,47.0,200.0
2025-06-21--02h-51m-48s,52.0,36.0,56.0,56.0,200.0
2025-06-21--02h-51m-48s,41.0,47.0,59.0,53.0,200.0
2025-06-21--02h-51m-48s,61.0,48.0,45.0,46.0,200.0
2025-06-21--02h-51m-48s,45.0,46.0,51.0,58.0,200.0
2025-06-21--02h-51m-48s,46.0,46.0,58.0,50.0,200.0
2025-06-21--02h-51m-48s,48.0,51.0,46.0,55.0,200.0
2025-06-21--02h-51m-48s,53.0,48.0,53.0,46.0,200.0
2025-06-21--02h-51m-48s,44.0,33.0,55.0,68.0,200.0
2025-06-21--02h-51m-48s,50.0,44.0,52.0,54.0,200.0
2025-06-21--02h-51m-48s,52.0,52.0,48.0,48.0,200.0
2025-06-21--02h-51m-48s,43.0,64.0,46.0,47.0,200.0
2025-06-21--02h-51m-48s,50.0,53.0,50.0,47.0,200.0
2025-06-21--02h-51m-48s,52.0,58.0,40.0,50.0,200.0
2025-06-21--02h-51m-48s,46.0,49.0,45.0,60.0,200.0
2025-06-21--02h-51m-48s,51.0,51.0,50.0,48.0,200.0
2025-06-21--02h-51m-48s,46.0,46.0,66.0,42.0,200.0
2025-06-21--02h-51m-48s,43.0,50.0,55.0,52.0,200.0
2025-06-21--02h-51m-48s,56.0,46.0,58.0,40.0,200.0
2025-06-21--02h-51m-48s,58.0,50.0,44.0,48.0,200.0
2025-06-21--02h-51m-48s,56.0,41.0,44.0,59.0,200.0
2025-06-21--02h-51m-48s,59.0,45.0,40.0,56.0,200.0
2025-06-21--02h-51m-48s,53.0,43.0,54.0,50.0,200.0
2025-06-21--02h-51m-48s,49.0,46.0,43.0,62.0,200.0
2025-06-21--02h-51m-48s,53.0,45.0,51.0,51.0,200.0
2025-06-21--02h-51m-48s,53.0,53.0,51.0,43.0,200.0
2025-06-21--02h-51m-48s,58.0,42.0,48.0,52.0,200.0
2025-06-21--02h-51m-48s,57.0,54.0,44.0,45.0,200.0
2025-06-21--02h-51m-48s,57.0,30.0,58.0,55.0,200.0
2025-06-21--02h-51m-48s,63.0,44.0,51.0,42.0,200.0
2025-06-21--02h-51m-48s,38.0,39.0,54.0,69.0,200.0
2025-06-21--02h-51m-48s,52.0,43.0,48.0,57.0,200.0
2025-06-21--02h-51m-48s,53.0,41.0,51.0,55.0,200.0
2025-06-21--02h-51m-48s,48.0,52.0,47.0,53.0,200.0
2025-06-21--02h-51m-48s,51.0,55.0,52.0,42.0,200.0
2025-06-21--02h-51m-48s,63.0,50.0,43.0,44.0,200.0
2025-06-21--02h-51m-48s,48.0,45.0,51.0,56.0,200.0
2025-06-21--02h-51m-48s,50.0,39.0,66.0,45.0,200.0
2025-06-21--02h-51m-48s,44.0,47.0,50.0,59.0,200.0
2025-06-21--02h-51m-48s,63.0,41.0,42.0,54.0,200.0
2025-06-21--02h-51m-48s,48.0,57.0,46.0,49.0,200.0
2025-06-21--02h-51m-48s,48.0,53.0,48.0,51.0,200.0
2025-06-21--02h-51m-48s,41.0,49.0,50.0,60.0,200.0
2025-06-21--02h-51m-48s,53.0,50.0,43.0,54.0,200.0
2025-06-21--02h-51m-48s,48.0,47.0,54.0,51.0,200.0
2025-06-21--02h-51m-48s,43.0,45.0,63.0,49.0,200.0
2025-06-21--02h-51m-48s,52.0,52.0,42.0,54.0,200.0
2025-06-21--02h-51m-48s,59.0,46.0,49.0,46.0,200.0
2025-06-21--02h-51m-48s,56.0,48.0,54.0,42.0,200.0
2025-06-21--02h-51m-48s,56.0,51.0,48.0,45.0,200.0
2025-06-21--02h-51m-48s,47.0,45.0,49.0,59.0,200.0
2025-06-21--02h-51m-48s,51.0,55.0,49.0,45.0,200.0
2025-06-21--02h-51m-48s,51.0,43.0,56.0,50.0,200.0
2025-06-21--02h-51m-48s,46.0,47.0,54.0,53.0,200.0
2025-06-21--02h-51m-48s,41.0,56.0,43.0,60.0,200.0
2025-06-21--02h-51m-48s,52.0,49.0,41.0,58.0,200.0
2025-06-21--02h-51m-48s,64.0,40.0,54.0,42.0,200.0
2025-06-21--02h-51m-48s,38.0,49.0,55.0,58.0,200.0
2025-06-21--02h-51m-48s,50.0,43.0,50.0,57.0,200.0
2025-06-21--02h-51m-48s,49.0,50.0,52.0,49.0,200.0
2025-06-21--02h-51m-48s,38.0,45.0,55.0,62.0,200.0
2025-06-21--02h-51m-48s,61.0,36.0,58.0,45.0,200.0
2025-06-21--02h-51m-48s,48.0,51.0,56.0,45.0,200.0
2025-06-21--02h-51m-48s,52.0,49.0,49.0,50.0,200.0
2025-06-21--02h-51m-48s,49.0,49.0,58.0,44.0,200.0
2025-06-21--02h-51m-48s,48.0,51.0,43.0,58.0,200.0
2025-06-21--02h-51m-48s,45.0,49.0,58.0,48.0,200.0
2025-06-21--02h-51m-48s,53.0,39.0,57.0,51.0,200.0
2025-06-21--02h-51m-48s,51.0,44.0,50.0,55.0,200.0
2025-06-21--02h-51m-48s,52.0,43.0,52.0,53.0,200.0
2025-06-21--02h-51m-48s,45.0,49.0,48.0,58.0,200.0
2025-06-21--02h-51m-48s,46.0,47.0,54.0,53.0,200.0
2025-06-21--02h-51m-48s,43.0,47.0,50.0,60.0,200.0
2025-06-21--02h-51m-48s,59.0,53.0,53.0,35.0,200.0
2025-06-21--02h-51m-48s,57.0,44.0,55.0,44.0,200.0
2025-06-21--02h-51m-48s,43.0,55.0,41.0,61.0,200.0
2025-06-21--02h-51m-48s,58.0,32.0,54.0,56.0,200.0
2025-06-21--02h-51m-48s,49.0,49.0,45.0,57.0,200.0
2025-06-21--02h-51m-48s,43.0,44.0,57.0,56.0,200.0
2025-06-21--02h-51m-48s,51.0,44.0,51.0,54.0,200.0
2025-06-21--02h-51m-48s,54.0,46.0,49.0,51.0,200.0
2025-06-21--02h-51m-48s,46.0,51.0,56.0,47.0,200.0
2025-06-21--02h-51m-48s,54.0,48.0,57.0,41.0,200.0
2025-06-21--02h-51m-48s,39.0,43.0,54.0,64.0,200.0
2025-06-21--02h-51m-48s,57.0,46.0,54.0,43.0,200.0
2025-06-21--02h-51m-48s,48.0,52.0,59.0,41.0,200.0
2025-06-21--02h-51m-48s,49.0,46.0,45.0,60.0,200.0
2025-06-21--02h-51m-48s,47.0,47.0,57.0,49.0,200.0
2025-06-21--02h-51m-48s,54.0,45.0,44.0,57.0,200.0
2025-06-21--02h-51m-48s,46.0,49.0,52.0,53.0,200.0
2025-06-21--02h-51m-48s,52.0,38.0,58.0,52.0,200.0
2025-06-21--02h-51m-48s,49.0,41.0,47.0,63.0,200.0
2025-06-21--02h-51m-48s,49.0,40.0,45.0,66.0,200.0
2025-06-21--02h-51m-48s,37.0,46.0,57.0,60.0,200.0
2025-06-21--02h-51m-48s,54.0,39.0,62.0,45.0,200.0
2025-06-21--02h-51m-48s,49.0,50.0,52.0,49.0,200.0
2025-06-21--02h-51m-48s,55.0,48.0,54.0,43.0,200.0
2025-06-21--02h-51m-48s,47.0,44.0,53.0,56.0,200.0
2025-06-21--02h-51m-48s,52.0,48.0,36.0,64.0,200.0
2025-06-21--02h-51m-48s,60.0,40.0,55.0,45.0,200.0
2025-06-21--02h-51m-48s,41.0,47.0,41.0,71.0,200.0
2025-06-21--02h-51m-48s,59.0,42.0,46.0,53.0,200.0
2025-06-21--02h-51m-48s,57.0,53.0,52.0,38.0,200.0
2025-06-21--02h-51m-48s,42.0,47.0,54.0,57.0,200.0
2025-06-21--02h-51m-48s,55.0,46.0,45.0,54.0,200.0
2025-06-21--02h-51m-48s,53.0,56.0,39.0,52.0,200.0
2025-06-21--02h-51m-48s,43.0,48.0,51.0,58.0,200.0
2025-06-21--02h-51m-48s,58.0,44.0,46.0,52.0,200.0
2025-06-21--02h-51m-48s,41.0,60.0,42.0,57.0,200.0
2025-06-21--02h-51m-48s,38.0,52.0,44.0,66.0,200.0
2025-06-21--02h-51m-48s,44.0,52.0,50.0,54.0,200.0
2025-06-21--02h-51m-48s,59.0,48.0,43.0,50.0,200.0
2025-06-21--02h-51m-48s,42.0,52.0,52.0,54.0,200.0
2025-06-21--02h-51m-48s,52.0,46.0,47.0,55.0,200.0
2025-06-21--02h-51m-48s,47.0,52.0,52.0,49.0,200.0
2025-06-21--02h-51m-48s,48.0,45.0,42.0,65.0,200.0
2025-06-21--02h-51m-48s,51.0,50.0,40.0,59.0,200.0
2025-06-21--02h-51m-48s,61.0,39.0,60.0,40.0,200.0
2025-06-21--02h-51m-48s,57.0,42.0,56.0,45.0,200.0
2025-06-21--02h-51m-48s,58.0,48.0,46.0,48.0,200.0
2025-06-21--02h-51m-48s,49.0,52.0,49.0,50.0,200.0
2025-06-21--02h-51m-48s,55.0,41.0,62.0,42.0,200.0
2025-06-21--02h-51m-48s,57.0,48.0,38.0,57.0,200.0
2025-06-21--02h-51m-48s,61.0,39.0,52.0,48.0,200.0
2025-06-21--02h-51m-48s,48.0,47.0,53.0,52.0,200.0
2025-06-21--02h-51m-48s,49.0,53.0,48.0,50.0,200.0
2025-06-21--02h-51m-48s,55.0,47.0,44.0,54.0,200.0
2025-06-21--02h-51m-48s,37.0,46.0,50.0,67.0,200.0
2025-06-21--02h-51m-48s,45.0,54.0,44.0,57.0,200.0
2025-06-21--02h-51m-48s,49.0,56.0,49.0,46.0,200.0
2025-06-21--02h-51m-48s,46.0,55.0,50.0,49.0,200.0
2025-06-21--02h-51m-48s,37.0,50.0,53.0,60.0,200.0
2025-06-21--02h-51m-48s,45.0,47.0,50.0,58.0,200.0
2025-06-21--02h-51m-48s,50.0,48.0,52.0,50.0,200.0
2025-06-21--02h-51m-48s,54.0,42.0,47.0,57.0,200.0
2025-06-21--02h-51m-48s,56.0,46.0,45.0,53.0,200.0
2025-06-21--02h-51m-48s,55.0,40.0,52.0,53.0,200.0
2025-06-21--02h-51m-48s,47.0,53.0,53.0,47.0,200.0
2025-06-21--02h-51m-48s,49.0,51.0,57.0,43.0,200.0
2025-06-21--02h-51m-48s,63.0,39.0,51.0,47.0,200.0
2025-06-21--02h-51m-48s,46.0,44.0,45.0,65.0,200.0
2025-06-21--02h-51m-48s,39.0,46.0,56.0,59.0,200.0
2025-06-21--02h-51m-48s,42.0,48.0,62.0,48.0,200.0
2025-06-21--02h-51m-48s,50.0,55.0,48.0,47.0,200.0
2025-06-21--02h-51m-48s,46.0,62.0,38.0,54.0,200.0
2025-06-21--02h-51m-48s,47.0,51.0,56.0,46.0,200.0
